rank,city,temp_mean,rain_sum,price_mean,score_mean,lat,lon,destination_score
1,Aigues Mortes,13.442857142857141,0.2,,8.940000000000001,43.5661521,4.19154,0.5211
2,Collioure,13.4,2.4,,8.855,42.52505,3.0831554,0.5125
3,Saintes Maries de la mer,12.9,0.4,,8.735,43.4515922,4.4277202,0.5113
4,Nimes,12.571428571428571,1.4000000000000001,,8.525,43.8374249,4.3600687,0.5022
5,Cassis,13.085714285714285,6.9,,8.98,43.2140359,5.5396318,0.491
6,Uzes,12.042857142857143,3.5,,9.035,44.0121279,4.4196718,0.4857
7,Bormes les Mimosas,13.257142857142856,9.2,,9.040000000000001,43.1506968,6.3419285,0.4856
8,Avignon,11.657142857142857,2.6999999999999997,,8.526315789473685,43.9492493,4.8059012,0.4821
9,Aix en Provence,11.828571428571427,3.7,,8.41578947368421,43.5298424,5.4474738,0.4814
10,Marseille,12.400000000000002,8.1,,8.422222222222222,43.2961743,5.3699525,0.4752
11,Carcassonne,10.828571428571427,2.4,,8.49,43.2130358,2.3491069,0.4693
12,Toulouse,10.914285714285715,3.5,,8.379999999999999,43.6044638,1.4442433,0.4668
13,Montauban,10.299999999999999,4.3,,8.379999999999999,44.0175835,1.3549991,0.4536
14,Paris,8.714285714285714,3.8000000000000003,,8.65,48.8534951,2.3483915,0.4287
15,Mont Saint Michel,9.442857142857141,14.6,,8.32,48.6359541,-1.51146,0.4021
16,Rouen,8.757142857142858,12.7,,8.331578947368422,49.4404591,1.0939658,0.3974
17,Grenoble,8.542857142857143,13.1,,8.190000000000001,45.1875602,5.7357819,0.3924
18,La Rochelle,11.185714285714285,26.9,,8.51,46.159732,-1.1515951,0.3871
19,Bayeux,8.642857142857142,15.2,,8.940000000000001,49.2764624,-0.7024738,0.3865
20,Strasbourg,6.985714285714286,9.0,,8.25,48.584614,7.7507127,0.381
21,Colmar,7.014285714285714,9.4,,8.85,48.0777517,7.3579641,0.38
22,Bayonne,13.085714285714285,39.1,,8.334999999999999,43.4945144,-1.4736657,0.3751
23,Eguisheim,7.2,11.8,,9.025,48.0447968,7.3079618,0.3745
24,Le Havre,9.914285714285715,26.700000000000003,,8.45,49.4938975,0.1079732,0.3664
25,Dijon,6.714285714285714,11.9,,8.4,47.3215806,5.0414701,0.366
26,Lyon,8.385714285714284,20.2,,8.38421052631579,45.7578137,4.8320114,0.3642
27,Biarritz,12.828571428571427,41.5,,8.615789473684211,43.4832523,-1.5592776,0.3621
28,Lille,6.8999999999999995,18.8,,8.263157894736842,50.6365654,3.0635282,0.3442
29,St Malo,3.6142857142857143,10.8,,8.745000000000001,49.314695,-96.9538228,0.3411
30,Amiens,6.942857142857143,20.6,,8.66,49.8941708,2.2956951,0.3385
31,Chateau du Haut Koenigsbourg,4.042857142857143,11.7,,8.845,48.2494107,7.3443202,0.3379
32,Gorges du Verdon,9.885714285714286,35.1,,8.7,43.7496562,6.3285616,0.3357
33,Annecy,7.114285714285714,27.4,,8.53,45.8992348,6.1288847,0.3169
34,Besancon,7.142857142857143,32.6,,8.084999999999999,47.2380222,6.0243622,0.2986
35,Ariege,3.8857142857142857,49.199999999999996,,8.99,42.9455368,1.4065544,0.2029
